collection_name,creator,rarity_score,trait_count,past_avg_price,floor_price,sales_last_7d,sales_last_30d,twitter_followers,discord_members,engagement_rate,listing_count,days_since_mint,blockchain,sale_price
VeeFriends,Azuki_Team,250.02,11.0,9.1652,2.6379,52,104,1617484,495079.0,0.094,2267,959,ethereum,7.0776
Cool Cats,WoW_NFT,82.1,1.0,5.7435,2.536,60,120,749099,327852.0,0.0297,724,992,ethereum,4.9009
CryptoPunks,YugaLabs,481.23,12.0,4.4945,2.0013,170,850,293978,240606.0,0.1036,1937,308,ethereum,7.8739
Otherdeed,Azuki_Team,,10.0,7.3542,3.0681,101,303,470202,218423.0,0.0959,1372,1172,ethereum,7.6646
Chromie Squiggle,WoW_NFT,176.79,11.0,27.0045,18.433,28,84,833870,159272.0,0.0105,4092,1053,ethereum,16.0971
Meebits,Invisible_Studio,15.57,6.0,7.7863,5.6921,16,64,1541178,208436.0,0.0595,1147,1185,ethereum,5.4055
Chromie Squiggle,Decentraland_Fdn,421.78,6.0,234.3863,87.0229,26,104,862226,317216.0,0.0923,4246,902,ethereum,75.3092
Chromie Squiggle,Evan_Conceicao,313.29,,10.9402,5.4992,62,248,1857302,464114.0,0.1073,93,688,ethereum,10.3557
Meebits,LarvaLabs,208.79,,5.4577,3.1643,147,735,724552,248201.0,0.1226,2020,1178,solana,3.6132
World of Women,Sandbox_AG,123.52,13.0,4.8575,4.504,9,36,466865,92565.0,0.0502,1348,826,ethereum,5.2554
Azuki,Sandbox_AG,372.82,13.0,18.9929,6.097,81,162,991431,478728.0,0.1257,2244,998,ethereum,19.5547
CryptoPunks,Invisible_Studio,472.79,1.0,8.1664,7.5557,89,178,222722,157561.0,,3857,484,ethereum,11.2544
Chromie Squiggle,CoolCats_Dev,191.02,3.0,155.725,54.166,29,87,1339914,41689.0,0.002,4784,289,ethereum,76.1786
Doodles,LarvaLabs,68.3,14.0,3.1772,1.6252,11,33,202345,272127.0,0.0919,3642,688,solana,1.988
VeeFriends,CyberKongz_Dev,55.49,6.0,31.3693,12.5642,46,138,1281958,395294.0,0.037,2520,491,ethereum,24.884
Meebits,RTFKTstudios,4.17,9.0,9.3113,5.7506,30,60,765404,128874.0,0.0195,2566,421,polygon,1.9884
Art Blocks,KevinRose_Team,372.23,1.0,0.9445,0.6802,158,316,714519,139615.0,0.0395,4965,836,ethereum,2.9206
Doodles,CoolCats_Dev,490.72,2.0,26.3691,11.3004,183,366,1221885,144693.0,0.1244,4957,733,ethereum,21.0091
Mutant Ape YC,CyberKongz_Dev,496.42,6.0,56.1909,20.5148,124,620,1410238,403353.0,0.1372,3816,379,ethereum,27.8966
Invisible Friends,KevinRose_Team,392.31,11.0,2.3852,1.6022,151,453,1857966,478700.0,0.1443,829,290,solana,2.322
Cool Cats,GaryVee,81.93,11.0,9.2708,4.4339,152,760,579326,423875.0,0.0461,1328,656,ethereum,9.5104
Azuki,WoW_NFT,488.88,13.0,1.1937,0.5653,175,525,1623944,113151.0,0.0689,1369,393,ethereum,9.0138
Chromie Squiggle,CyberKongz_Dev,164.58,3.0,1.5238,0.9895,19,57,1671017,424626.0,0.1206,1153,285,ethereum,3.1695
Meebits,CyberKongz_Dev,167.48,3.0,38.029,15.7625,199,597,1991377,154887.0,0.0484,4838,267,ethereum,18.0137
Cool Cats,SnowFro,343.98,8.0,3.4951,2.5608,91,455,1928761,433361.0,0.0584,803,795,ethereum,7.239
Art Blocks,YugaLabs,25.48,8.0,2.6942,1.1846,108,432,1581020,495697.0,0.0364,4265,498,ethereum,2.3147
Sandbox Land,KevinRose_Team,413.06,1.0,7.5762,5.9024,159,318,589825,359091.0,0.0863,4032,411,ethereum,9.5121
Art Blocks,SnowFro,498.65,7.0,5.3006,2.3943,98,294,1389298,477559.0,0.0992,2647,139,polygon,2.3295
Sandbox Land,Decentraland_Fdn,,13.0,4.5315,2.5472,53,265,1569484,71287.0,0.0484,1541,67,solana,3.9009
Azuki,Sandbox_AG,391.06,3.0,23.1873,10.8829,3,6,583252,327449.0,0.0046,1336,834,ethereum,12.2014
Moonbirds,WoW_NFT,195.77,12.0,2.3172,1.1117,33,165,1626944,26046.0,0.1107,3382,1161,ethereum,4.9495
Art Blocks,Meebits_Dev,33.89,7.0,4.9446,1.5122,16,80,1403958,326160.0,0.0929,3359,390,ethereum,4.7577
Moonbirds,RTFKTstudios,396.54,8.0,11.9961,5.3919,76,152,981781,170448.0,0.0336,2705,1012,polygon,3.3183
RTFKT,SnowFro,298.98,9.0,43.6935,14.3434,155,620,1723558,484963.0,,2846,722,ethereum,25.2232
Mutant Ape YC,WoW_NFT,454.76,10.0,30.9732,19.8022,66,264,175950,247585.0,0.1436,4131,365,polygon,7.7501
World of Women,Meebits_Dev,58.87,9.0,3.7935,2.0176,119,595,1367941,381244.0,0.0949,3774,680,polygon,1.1593
Sandbox Land,Invisible_Studio,153.26,2.0,16.3936,13.8025,37,185,1572470,151380.0,0.0897,3756,156,polygon,5.1277
RTFKT,Decentraland_Fdn,,5.0,3.5887,1.749,118,236,81219,37526.0,0.0963,1408,405,ethereum,3.5911
CryptoPunks,Meebits_Dev,341.96,12.0,107.1452,40.103,190,570,815252,371129.0,0.1432,328,882,solana,37.315
Art Blocks,Sandbox_AG,394.08,1.0,3.5588,1.1497,63,315,1034303,110947.0,0.0516,2298,1021,ethereum,6.7585
World of Women,Azuki_Team,480.55,11.0,53.2919,22.069,96,288,416538,361249.0,0.0429,1698,265,ethereum,25.5869
Sandbox Land,Azuki_Team,148.41,8.0,5.3005,2.0385,192,384,1758745,232377.0,0.0571,1681,1092,ethereum,7.99
Pudgy Penguins,Decentraland_Fdn,247.32,2.0,72.4384,50.194,121,484,1253487,485965.0,,2605,726,ethereum,67.0007
Pudgy Penguins,GaryVee,15.45,2.0,9.9594,9.1119,79,158,550510,176370.0,0.019,4627,275,polygon,2.1267
Sandbox Land,CoolCats_Dev,127.24,14.0,3.9451,1.3242,24,48,874157,200346.0,0.0318,4020,935,polygon,1.3511
Otherdeed,SnowFro,187.63,1.0,3.3949,2.3948,187,935,224485,370283.0,0.035,3378,1057,ethereum,4.5675
Azuki,YugaLabs,297.31,1.0,14.0516,11.4434,122,244,175601,392885.0,0.0958,3572,327,solana,6.4842
Meebits,Azuki_Team,235.95,,53.0012,15.8501,11,55,1493002,62975.0,0.0966,2074,127,ethereum,22.2164
Sandbox Land,Azuki_Team,182.87,9.0,14.0344,4.1171,111,222,1967357,370625.0,0.0564,2751,342,ethereum,7.2661
Doodles,GaryVee,312.41,13.0,12.0132,4.7284,193,386,553961,245770.0,0.0422,2174,908,ethereum,14.2425
Mutant Ape YC,LarvaLabs,414.48,3.0,21.6738,11.1342,186,744,489701,494375.0,0.1134,4043,74,solana,9.1956
RTFKT,LarvaLabs,121.6,12.0,16.185,5.2496,39,78,1367964,315560.0,0.0057,4951,347,ethereum,10.0552
Decentraland,Meebits_Dev,172.1,11.0,1.4348,0.9491,82,246,1022174,386830.0,0.1111,2180,384,ethereum,3.2474
Doodles,Sandbox_AG,,4.0,3.5031,1.6895,197,591,279301,172018.0,0.0323,3607,21,ethereum,6.8075
RTFKT,Evan_Conceicao,389.19,1.0,11.2466,5.9426,156,624,1334742,141858.0,0.1355,287,717,solana,4.404
Cool Cats,Meebits_Dev,412.87,,63.2413,19.2706,112,336,420009,392559.0,0.0626,2014,967,solana,16.5272
VeeFriends,YugaLabs,105.46,2.0,102.8153,31.1614,60,120,230621,7734.0,0.0967,4353,187,polygon,11.5875
Moonbirds,CoolCats_Dev,270.09,2.0,30.0049,11.4208,152,304,928767,290259.0,0.019,3435,1064,solana,12.9643
Mutant Ape YC,KevinRose_Team,450.11,7.0,8.078,6.3265,115,230,1478950,484086.0,0.0388,2637,1143,solana,3.9003
Azuki,KevinRose_Team,196.58,12.0,24.2768,11.0075,104,208,1042545,495590.0,0.1054,1076,1044,ethereum,12.1181
CyberKongz,Invisible_Studio,215.51,14.0,3.2484,2.0135,185,740,1296753,358062.0,0.083,4043,867,ethereum,3.0629
Bored Ape YC,YugaLabs,492.43,9.0,11.9783,3.7289,75,225,476301,248704.0,0.1158,4852,538,polygon,2.8743
Decentraland,SnowFro,57.41,4.0,2.2438,1.667,125,250,987758,406322.0,0.0849,1966,245,polygon,0.887
Pudgy Penguins,RTFKTstudios,353.1,5.0,1.1375,1.0015,8,24,1426018,7430.0,0.0858,4049,1095,ethereum,6.0254
Chromie Squiggle,WoW_NFT,425.24,9.0,18.4649,6.6876,142,568,1056895,396642.0,0.1289,2946,637,ethereum,13.9918
CloneX,Evan_Conceicao,76.25,3.0,11.9443,5.5992,109,327,479637,95068.0,0.0643,1993,542,polygon,2.2608
Azuki,Meebits_Dev,357.51,8.0,31.6668,10.2286,175,525,1909612,367906.0,0.1344,1662,470,ethereum,21.5038
CryptoPunks,LarvaLabs,235.4,11.0,10.2411,8.6308,66,264,135127,174071.0,0.0565,2519,262,solana,4.9033
RTFKT,YugaLabs,426.59,,18.0056,5.9965,185,740,1821840,375762.0,0.05,2053,459,ethereum,21.366
Azuki,RTFKTstudios,453.82,1.0,9.5561,8.7403,115,460,1449248,301684.0,0.1171,3089,958,ethereum,10.4399
Bored Ape YC,Invisible_Studio,436.37,5.0,4.5567,4.2579,41,123,224410,464736.0,0.0027,745,672,polygon,2.7839
Chromie Squiggle,LarvaLabs,33.13,4.0,15.839,7.3557,32,96,510761,393736.0,0.0267,2390,475,ethereum,11.2917
RTFKT,Azuki_Team,378.67,8.0,2.9123,1.875,39,195,737819,457064.0,0.0117,3710,130,ethereum,5.7596
Bored Ape YC,WoW_NFT,460.84,3.0,17.3508,6.9842,60,300,1915236,75700.0,0.0773,4226,498,ethereum,14.8766
Moonbirds,LarvaLabs,311.05,14.0,10.6403,9.9952,110,220,1033784,189675.0,0.0946,1408,259,solana,5.5688
Art Blocks,GaryVee,300.84,13.0,2.184,2.0065,173,865,516545,218762.0,0.0025,3005,477,ethereum,5.9609
VeeFriends,KevinRose_Team,23.46,5.0,13.4393,4.7693,199,995,1839991,15577.0,0.0251,1515,180,ethereum,8.3802
Azuki,SnowFro,428.16,,3.2348,2.1206,135,675,236442,11484.0,0.0461,3951,1137,polygon,2.0695
RTFKT,LarvaLabs,24.16,7.0,6.2925,2.3826,98,294,1633218,19436.0,0.0448,1777,209,solana,1.9657
Cool Cats,Azuki_Team,157.44,1.0,3.3402,1.1619,122,488,1661465,383635.0,0.0155,3370,149,ethereum,6.1694
Mutant Ape YC,Azuki_Team,463.01,13.0,23.5056,20.4694,66,132,773272,223374.0,0.0268,2166,786,ethereum,22.7585
VeeFriends,Sandbox_AG,474.92,11.0,47.0826,16.1,48,96,86719,375876.0,0.1272,1343,413,ethereum,19.6758
Art Blocks,Sandbox_AG,495.96,5.0,14.2731,8.5414,107,428,1772477,417506.0,0.1054,2885,1195,ethereum,12.9398
Invisible Friends,YugaLabs,238.72,8.0,94.3138,47.7813,165,330,1934859,18151.0,0.0451,3123,485,ethereum,36.5124
Pudgy Penguins,CoolCats_Dev,89.54,6.0,4.3447,3.5712,12,24,756626,423820.0,0.0402,3417,781,polygon,1.5612
Decentraland,Meebits_Dev,244.48,4.0,527.6387,170.3943,22,66,371881,112907.0,0.0129,3958,1001,ethereum,255.8921
Moonbirds,LarvaLabs,,5.0,8.1924,3.4109,35,105,542750,202254.0,0.053,3381,1181,ethereum,5.7131
Pudgy Penguins,YugaLabs,436.4,2.0,13.7679,6.0875,41,82,273294,481465.0,0.0603,4258,971,polygon,3.0809
CryptoPunks,SnowFro,280.71,12.0,9.5135,2.7806,29,145,1219980,150875.0,0.1357,2124,692,ethereum,8.0399
Pudgy Penguins,GaryVee,202.85,10.0,12.8652,7.0062,26,104,1037422,469931.0,0.1117,2548,977,ethereum,11.7532
